Duration,SecurityPersonID,IncidentID
12:00:00,616681977,310
01:45:00,861087933,320
02:15:00,876376489,192
02:30:00,358556040,93
06:45:00,938787370,61
08:45:00,986546876,235
12:30:00,412348871,133
01:30:00,284201269,216
01:00:00,208300908,74
03:45:00,635413891,249
07:45:00,500167612,144
07:15:00,174568645,104
05:00:00,523774700,38
12:45:00,631506193,26
06:30:00,730730552,45
02:00:00,412348871,130
12:15:00,910279947,247
02:30:00,274952004,116
04:15:00,390063452,26
08:00:00,260606380,278
10:30:00,647367023,174
05:15:00,742227229,339
03:00:00,604553098,325
09:45:00,631506193,342
02:15:00,977838897,186
03:30:00,269950200,397
09:45:00,396204343,393
02:45:00,145830306,272
02:30:00,755174300,223
07:45:00,332693808,42
01:45:00,976649594,85
07:45:00,225339842,29
12:15:00,598623657,322
02:45:00,175075744,128
06:15:00,227781320,75
11:30:00,287746401,194
01:15:00,565097440,186
02:00:00,415871162,327
12:30:00,122515070,65
11:00:00,532540604,272
02:30:00,907503327,374
12:00:00,975750251,216
08:45:00,260606380,272
06:45:00,532540604,187
05:45:00,978636166,15
01:15:00,892752035,182
11:15:00,154760876,335
06:15:00,839805720,284
06:45:00,599256224,156
06:30:00,107624827,42
08:00:00,642528606,330
07:00:00,693797014,164
08:00:00,269950200,205
12:15:00,818098877,46
08:00:00,774359286,38
08:00:00,299112453,236
01:45:00,307717264,53
08:15:00,599438968,121
10:45:00,504422030,36
09:45:00,619976654,147
08:45:00,306887998,202
07:45:00,234093598,255
02:00:00,907503327,130
09:15:00,925424878,272
08:00:00,354272848,182
11:15:00,342825161,286
04:30:00,999072598,390
11:00:00,208300908,206
11:30:00,303712976,175
01:30:00,667677004,298
11:45:00,465215525,310
01:30:00,298218807,30
09:15:00,841691969,204
03:00:00,385993825,225
07:45:00,815311726,46
06:15:00,759951555,70
12:30:00,390063452,194
02:45:00,999272059,165
06:00:00,698874253,274
07:45:00,559289100,255
01:30:00,532481136,260
08:15:00,395665492,93
09:00:00,645751546,179
10:30:00,722942691,400
04:45:00,810169356,156
03:00:00,576726703,216
10:30:00,852952842,158
10:45:00,999272059,152
10:30:00,642941132,225
09:45:00,542569338,31
01:30:00,215827927,364
08:30:00,240790341,249
11:00:00,704712421,208
12:30:00,401479835,286
05:15:00,269950200,90
08:15:00,303712976,134
02:15:00,470032040,93
10:45:00,160433413,278
03:15:00,425447861,88
03:00:00,897788482,324
12:00:00,677853668,327
12:30:00,251073571,46
10:45:00,986721727,116
07:00:00,332693808,38
06:45:00,318306927,133
02:15:00,619976654,378
11:15:00,307717264,119
10:30:00,175075744,325
03:45:00,528810734,315
09:15:00,843098534,73
06:45:00,848168450,186
04:00:00,332693808,235
11:45:00,227781320,20
11:30:00,390063452,215
05:45:00,584131648,379
11:15:00,663671790,369
04:45:00,682788464,236
01:45:00,193599161,144
08:30:00,901707052,292
04:30:00,216059858,223
11:30:00,958117510,193
04:30:00,603638893,10
09:30:00,891752573,46
08:15:00,385125477,73
08:15:00,172308402,57
06:00:00,390691138,252
10:15:00,578414726,387
10:00:00,776946530,158
05:30:00,465215525,298
09:30:00,883226645,367
04:00:00,843405227,140
12:30:00,639228756,164
06:45:00,841309164,21
06:00:00,149356089,247
